number,value,datetime_start,datetime_complete,duration,params_D2_nm,params_D3_nm,params_D4_nm,params_metal,state
3311,0.0,2026-03-20 00:25:41.581313,2026-03-20 00:25:42.217112,0 days 00:00:00.635799,20.114949463438148,19.9704585391394,0.3109930299344492,Cu,COMPLETE
3312,0.0,2026-03-20 00:25:41.597817,2026-03-20 00:25:42.285878,0 days 00:00:00.688061,20.219676285710243,19.927954249461024,0.3194450577837906,Cu,COMPLETE
3313,0.0,2026-03-20 00:25:41.613419,2026-03-20 00:25:42.202113,0 days 00:00:00.588694,20.287345232914088,19.974391271701805,0.29596490628513317,Cu,COMPLETE
3314,0.0,2026-03-20 00:25:41.646532,2026-03-20 00:25:42.352780,0 days 00:00:00.706248,27.530859246706363,19.961564853276396,0.30277473963185136,Cu,COMPLETE
3315,0.0,2026-03-20 00:25:41.708481,2026-03-20 00:25:42.352780,0 days 00:00:00.644299,20.279693706223465,19.981449630040775,0.31623922983666874,Cu,COMPLETE
3316,0.0,2026-03-20 00:25:41.818008,2026-03-20 00:25:42.470598,0 days 00:00:00.652590,27.70174360473051,19.96791057378392,0.29597282172978,Cu,COMPLETE
3317,-12.860082304525136,2026-03-20 00:25:42.312558,2026-03-20 00:25:43.165276,0 days 00:00:00.852718,23.62603005112517,19.998066870258345,0.34058051217492274,Cu,COMPLETE
3318,0.0,2026-03-20 00:25:42.328019,2026-03-20 00:25:43.026742,0 days 00:00:00.698723,23.798123551895877,19.613890424864366,0.32780325925490916,Cu,COMPLETE
3319,0.0,2026-03-20 00:25:42.388749,2026-03-20 00:25:43.127011,0 days 00:00:00.738262,23.82960158347651,19.62824327097046,0.3417874589403336,Cu,COMPLETE
3320,0.0,2026-03-20 00:25:42.442500,2026-03-20 00:25:43.099773,0 days 00:00:00.657273,23.9141610820535,19.593864559226688,0.34984931450561735,Cu,COMPLETE
3321,-13.036809815949333,2026-03-20 00:25:42.486917,2026-03-20 00:25:43.065658,0 days 00:00:00.578741,23.4152982721316,19.984646471603558,0.3510911079778734,Cu,COMPLETE
3322,0.0,2026-03-20 00:25:42.561090,2026-03-20 00:25:43.126467,0 days 00:00:00.565377,23.685932916149316,19.63574560151798,0.3429197382741573,Cu,COMPLETE
3323,-13.223552894209993,2026-03-20 00:25:42.621452,2026-03-20 00:25:43.189530,0 days 00:00:00.568078,23.82113945934566,19.635812147690675,0.34283705802979114,Cu,COMPLETE
3324,0.0,2026-03-20 00:25:42.765491,2026-03-20 00:25:43.320271,0 days 00:00:00.554780,23.94502283182387,19.98009675938238,0.33972779353030447,Cu,COMPLETE
3325,-199.22839506171374,2026-03-20 00:25:43.164274,2026-03-20 00:25:43.910287,0 days 00:00:00.746013,21.525168055899865,19.212925319699075,0.30597381436495485,Cu,COMPLETE
3326,-306.33147113590604,2026-03-20 00:25:43.215417,2026-03-20 00:25:43.887826,0 days 00:00:00.672409,21.655068032194468,19.99838899342494,0.2932568260073223,Cu,COMPLETE
3327,-205.7984790874368,2026-03-20 00:25:43.256552,2026-03-20 00:25:43.887826,0 days 00:00:00.631274,21.921235123781678,19.228223588535702,0.30203160535140783,Cu,COMPLETE
3328,-205.0189393939239,2026-03-20 00:25:43.271633,2026-03-20 00:25:43.955982,0 days 00:00:00.684349,21.75681457576247,19.23875250549083,0.3760299061692969,Cu,COMPLETE
3329,-201.02611940296984,2026-03-20 00:25:43.323827,2026-03-20 00:25:44.063291,0 days 00:00:00.739464,21.69074832538214,19.180741035504674,0.2984686852670249,Cu,COMPLETE
3330,0.0,2026-03-20 00:25:43.411104,2026-03-20 00:25:43.990191,0 days 00:00:00.579087,20.022274716394787,19.20375330276153,0.2889158522870609,Cu,COMPLETE
3331,0.0,2026-03-20 00:25:43.486147,2026-03-20 00:25:44.048482,0 days 00:00:00.562335,20.02682407025667,19.197926186101103,0.31272282698358034,Cu,COMPLETE
3332,-201.9350811485491,2026-03-20 00:25:43.713318,2026-03-20 00:25:44.386534,0 days 00:00:00.673216,21.623584820380593,19.25319722102289,0.2958279237651071,Cu,COMPLETE
3333,0.0,2026-03-20 00:25:44.019771,2026-03-20 00:25:44.801947,0 days 00:00:00.782176,27.336185934321733,19.649632013597678,0.2963721814705768,Cu,COMPLETE
3334,0.0,2026-03-20 00:25:44.094714,2026-03-20 00:25:44.799915,0 days 00:00:00.705201,27.716123165046863,19.994569052841086,0.29790581905411945,Cu,COMPLETE
3335,3.6764705882348614,2026-03-20 00:25:44.129739,2026-03-20 00:25:44.749817,0 days 00:00:00.620078,27.469907069263655,19.98889303102515,0.28635983458467834,Cu,COMPLETE
3336,-1.0162601626014316,2026-03-20 00:25:44.143722,2026-03-20 00:25:44.818084,0 days 00:00:00.674362,27.028192740837444,19.560376915140925,0.2894241744862606,Cu,COMPLETE
3337,0.0,2026-03-20 00:25:44.172734,2026-03-20 00:25:44.957430,0 days 00:00:00.784696,27.161486242633018,19.98089168713726,0.2929184856366746,Cu,COMPLETE
3338,0.0,2026-03-20 00:25:44.240422,2026-03-20 00:25:44.763221,0 days 00:00:00.522799,26.95236675659929,19.97838332150995,0.2976255059891412,Cu,COMPLETE
3339,0.0,2026-03-20 00:25:44.295805,2026-03-20 00:25:44.869187,0 days 00:00:00.573382,25.159356447353126,19.99518195425451,0.29255844292652444,Cu,COMPLETE
